                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78389,                0.28571,                 0.5102,                 1.2073,             0.00020706,             0.00020706,             0.00020706
                      2,                0.61019,                 0.4898,                0.89796,                 1.1643,             0.00040736,             0.00040736,             0.00040736
                      3,                0.36315,                0.65306,                0.95918,                 1.0698,             0.00059352,             0.00059352,             0.00059352
                      4,                0.16893,                 0.7551,                0.95918,                 1.0024,             0.00064331,             0.00064331,             0.00064331
                      5,                0.06521,                0.83673,                      1,                0.98804,             0.00064331,             0.00064331,             0.00064331
                      6,                0.03401,                0.85714,                0.97959,                0.96533,             0.00061975,             0.00061975,             0.00061975
                      7,                0.01515,                0.89796,                0.97959,                0.95264,             0.00059619,             0.00059619,             0.00059619
                      8,                0.01022,                0.83673,                0.97959,                 0.9585,             0.00057263,             0.00057263,             0.00057263
                      9,                0.00834,                0.85714,                0.95918,                  0.948,             0.00054907,             0.00054907,             0.00054907
                     10,                 0.0056,                0.87755,                0.95918,                0.94653,              0.0005255,              0.0005255,              0.0005255
                     11,                0.00391,                0.83673,                0.97959,                0.95044,             0.00050194,             0.00050194,             0.00050194
                     12,                0.00437,                0.81633,                      1,                0.95166,             0.00047838,             0.00047838,             0.00047838
                     13,                0.00387,                0.83673,                0.97959,                0.94995,             0.00045482,             0.00045482,             0.00045482
                     14,                0.00357,                0.81633,                0.97959,                0.94897,             0.00043126,             0.00043126,             0.00043126
                     15,                 0.0032,                0.85714,                0.97959,                0.94507,             0.00040769,             0.00040769,             0.00040769
                     16,                0.00234,                0.85714,                0.97959,                0.93823,             0.00038413,             0.00038413,             0.00038413
                     17,                0.00229,                0.85714,                0.97959,                0.94092,             0.00036057,             0.00036057,             0.00036057
                     18,                0.00226,                0.83673,                0.97959,                0.93921,             0.00033701,             0.00033701,             0.00033701
                     19,                0.00123,                0.85714,                0.97959,                0.93872,             0.00031345,             0.00031345,             0.00031345
                     20,                0.00199,                0.83673,                0.97959,                0.93799,             0.00028988,             0.00028988,             0.00028988
                     21,                0.00263,                0.85714,                0.97959,                0.93652,             0.00026632,             0.00026632,             0.00026632
                     22,                0.00238,                0.85714,                0.97959,                0.93384,             0.00024276,             0.00024276,             0.00024276
